"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000198363",6.05724423965403,3.99033391576178,20.6801483520615,2.38568599538311e-30,9.59093483863917e-26,58.5143181794959
"ENSG00000177575",5.6385205098621,5.98978411674877,20.2327616510835,8.21950969360399e-30,1.15046755931481e-25,57.4789635620867
"ENSG00000132205",3.87008092642497,6.99358103576409,20.2171511271886,8.58515167888275e-30,1.15046755931481e-25,57.3837784122993
"ENSG00000203710",5.76643319020178,6.39938796084655,17.804504677973,9.7427747112217e-27,9.79197572351337e-23,50.3144412979005
"ENSG00000038427",4.0463392483758,7.89213772649804,17.7112687257177,1.29508915772551e-26,1.04130348637762e-22,49.614409615722
"ENSG00000100697",4.06108425696147,5.66156572969957,17.4926638193764,2.53414888743786e-26,1.69796422621294e-22,49.6172423516408
"ENSG00000249437",5.61064396180754,4.75369174196412,17.0819900667988,9.07828972425006e-26,5.21379147849001e-22,48.3524027802376
"ENSG00000168615",4.96070203277014,3.31368475171968,16.5119039951168,5.51556404723619e-25,2.77170882283737e-21,45.8994899929652
"ENSG00000127507",3.44023621580407,7.58797630113352,16.2920617244287,1.11758129951424e-24,4.99211148923015e-21,45.3984732576072
"ENSG00000108582",4.51191979432192,6.23569498569046,15.926962213661,3.65799330824304e-24,1.47058646977986e-20,44.5615239669659
"ENSG00000134243",4.81822853513988,5.98161725030001,15.7712186676748,6.09641245603615e-24,2.22807248688696e-20,44.0383100215847
"ENSG00000134755",5.65359310429728,3.41706388179564,15.4876838095811,1.55692720737549e-23,5.21596563257579e-20,43.1050147924034
"ENSG00000178904",4.91707775054016,3.60425925955929,15.334484185933,2.59472280312653e-23,8.0240804716379e-20,42.3201542449307
"ENSG00000237254",-8.04568084392806,0.996961531429332,-15.1338438385696,5.08784729476281e-23,1.46101169245753e-19,38.5547840174013
"ENSG00000137642",3.98195929979088,9.24169275910907,14.9950031756921,8.13181665283468e-23,2.17943528718173e-19,40.1088913367643
"ENSG00000138061",6.66709431579645,4.47379627364652,14.8592915384012,1.28905726625075e-22,3.23891751361328e-19,41.1375695415124
"ENSG00000169554",3.3246756737364,6.41220428445416,14.728816394434,2.01182787837191e-22,4.75761790390044e-19,40.6778552500546
"ENSG00000058063",4.63922640639946,5.7824564766033,14.7005491516503,2.21613672542354e-22,4.9496182575265e-19,40.5691515569261
"ENSG00000135677",3.11034127212714,7.41108731828499,14.6500905990688,2.63444147910459e-22,5.57420086015592e-19,40.0965357622619
"ENSG00000135842",3.48770678139902,8.66120479366625,14.5084219129035,4.28815107298176e-22,8.61961247180064e-19,38.860703170236
"ENSG00000118518",3.64108525954678,4.58733811205399,14.3484049003958,7.45744093400005e-22,1.42763828775557e-18,39.2391657702942
"ENSG00000257335",5.20278594696047,7.60522062626931,14.2854420305922,9.27980478890516e-22,1.69575778237984e-18,38.3821990412498
"ENSG00000180776",4.5771424126081,5.05436232567398,14.2220568335861,1.15703597189685e-21,2.02239826705204e-18,38.9730356818034
"ENSG00000211817",-7.61657019238305,0.316831724682038,-14.0990782863452,1.77773765435156e-21,2.9778587158434e-18,35.5288774614592
"ENSG00000118263",3.67025587377955,5.84028272680724,14.0042820222862,2.47866671767413e-21,3.98589437535741e-18,38.2116643095205
"ENSG00000163710",11.3356926768187,-2.82565087805375,13.928816689394,3.23213693004518e-21,4.99762957160294e-18,36.1907208716864
"ENSG00000109466",5.10737642303743,4.53770087110655,13.8738049093087,3.92390649775074e-21,5.84255144528057e-18,37.7597553412794
"ENSG00000135048",3.40648549105084,5.92446088213889,13.6589546064477,8.40021526282305e-21,1.20609090712862e-17,37.0027756765321
"ENSG00000250138",4.63976199881446,5.14566883509253,13.5454293005148,1.25892318626984e-20,1.74521482532483e-17,36.5363556647686
"ENSG00000160255",1.97257587208066,11.104416000168,13.5134424621418,1.41135519251551e-20,1.89131004831694e-17,33.3045372332621
